port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Antwerp,2019,6,430,62,889.448344,2.068484520930232,14.34594103225806,0.1441860465116279
Antwerp,2019,7,463,72,1156.98860322,2.498895471317494,16.06928615583333,0.1555075593952484
Antwerp,2019,8,429,48,866.4280608,2.01964582937063,18.0505846,0.1118881118881119
Antwerp,2019,9,430,59,963.9066662,2.241643409767442,16.3374011220339,0.1372093023255814
Antwerp,2019,10,449,49,591.0074998,1.316275055233853,12.06137754693878,0.1091314031180401
Antwerp,2019,11,424,50,877.6766585,2.069992119103774,17.55353317,0.1179245283018868
Antwerp,2019,12,418,58,1032.3041738,2.469627210047847,17.79834782413793,0.138755980861244
Antwerp,2020,1,524,85,1910.7850007,3.646536260877863,22.47982353764706,0.1622137404580153
Antwerp,2020,2,410,73,979.4455458,2.388891575121951,13.41706227123288,0.1780487804878049
Antwerp,2020,3,443,67,890.7938925,2.010821427765237,13.29543123134328,0.1512415349887133
Antwerp,2020,4,444,63,1232.9441525,2.776901244369369,19.5705421031746,0.1418918918918919
Antwerp,2020,5,434,62,967.5236036,2.229317058986175,15.60521941290323,0.1428571428571428
Antwerp,2020,6,416,53,843.362214,2.027313014423077,15.91249460377358,0.1274038461538461
Antwerp,2020,7,442,55,639.8988885,1.447735041855204,11.63452524545455,0.1244343891402715
Antwerp,2020,8,440,59,835.0299951,1.897795443409091,14.15305076440678,0.1340909090909091
Antwerp,2020,9,439,64,1329.9544323,3.029508957403189,20.7805380046875,0.1457858769931663
Antwerp,2020,10,450,65,895.7088849,1.990464188666667,13.78013669076923,0.1444444444444444
Antwerp,2020,11,415,66,936.0588861,2.255563580963855,14.18271039545455,0.1590361445783132
Antwerp,2020,12,413,87,1932.5183236,4.67922112251816,22.21285429425287,0.2106537530266344
Antwerp,2021,1,418,78,2420.3388684,5.79028437416268,31.02998549230769,0.1866028708133971
Antwerp,2021,2,375,79,1960.9377786,5.2291674096,24.82199719746836,0.2106666666666667
Antwerp,2021,3,417,92,2075.6255286,4.977519253237411,22.56114705,0.2206235011990408
Antwerp,2021,4,419,93,2228.1685964,5.317824812410501,23.95880211182796,0.2219570405727924
Antwerp,2021,5,410,82,1927.6252775,4.701525067073171,23.50762533536586,0.2
Antwerp,2021,6,403,99,3665.4903164,9.095509469975186,37.02515471111111,0.2456575682382134
Antwerp,2021,7,405,105,3452.469432,8.52461588148148,32.88066125714285,0.2592592592592592
Antwerp,2021,8,387,79,2116.9289177,5.4701005625323,26.79656857848101,0.2041343669250646
Antwerp,2021,9,392,90,1944.7905458,4.961200371938776,21.60878384222222,0.2295918367346939
Antwerp,2021,10,396,91,2072.4191384,5.233381662626263,22.77383668571429,0.2297979797979798
Antwerp,2021,11,361,76,2001.5761351,5.544532230193905,26.33652809342105,0.2105263157894737
Antwerp,2021,12,362,86,2167.291955,5.98699435082873,25.20106924418605,0.2375690607734807
Antwerp,2022,1,359,87,2460.6417059,6.854155169637883,28.28323799885057,0.2423398328690808
Antwerp,2022,2,301,64,1429.3233273,4.748582482724252,22.3331769890625,0.212624584717608
Antwerp,2022,3,371,93,2080.6577693,5.608241965768194,22.37266418602151,0.2506738544474393
Antwerp,2022,4,356,98,1854.39277725,5.208968475421349,18.92237527806122,0.2752808988764045
Antwerp,2022,5,366,92,1694.3883621,4.629476399180328,18.41726480543478,0.2513661202185792
Antwerp,2022,6,356,83,1378.3975073,3.871903110393258,16.60719888313253,0.2331460674157303
Antwerp,2022,7,370,87,1274.0891633,3.443484225135135,14.64470302643678,0.2351351351351351
Antwerp,2022,8,361,75,2102.6650273,5.82455686232687,28.03553369733334,0.2077562326869806
Antwerp,2022,9,290,67,1170.6233159,4.036632123793103,17.47198978955224,0.2310344827586207
Antwerp,2022,10,308,52,692.08527548,2.247030115194805,13.30933222076923,0.1688311688311688
Antwerp,2022,11,285,51,784.1880653000001,2.75153707122807,15.37623657450981,0.1789473684210526
Antwerp,2022,12,322,79,1771.576973,5.501791841614907,22.42502497468355,0.2453416149068323
Antwerp,2023,1,304,54,711.96222893,2.341981016217106,13.18448572092593,0.1776315789473684
Antwerp,2023,2,300,48,511.1238884,1.703746294666667,10.64841434166667,0.16
Antwerp,2023,3,311,47,946.3758488,3.043009160128617,20.13565635744681,0.1511254019292604
Antwerp,2023,4,329,56,1108.3850016,3.368951372644377,19.79258931428571,0.1702127659574468
Antwerp,2023,5,336,57,1010.3355576,3.006951064285714,17.72518522105263,0.1696428571428572
Antwerp,2023,6,325,53,672.0608317,2.067879482153846,12.6803930509434,0.1630769230769231
Antwerp,2023,7,334,52,801.5719336,2.399915968862275,15.41484487692308,0.155688622754491
Antwerp,2023,8,337,58,878.3291588,2.606317978635015,15.1436061862069,0.172106824925816
Antwerp,2023,9,310,60,937.6252818,3.024597683225807,15.62708803,0.1935483870967742
Antwerp,2023,10,326,48,839.9380571,2.576497107668712,17.49870952291667,0.147239263803681
Bremen,2017,1,305,162,3464.092114,11.35767906229508,21.38328465432099,0.5311475409836065
Bremen,2017,2,276,178,3516.279242,12.74014218115942,19.75437776404494,0.644927536231884
Bremen,2017,3,307,179,3771.3886033,12.28465343094462,21.06921007430168,0.5830618892508144
Bremen,2017,4,288,182,4860.099846,16.8753466875,26.70384530769231,0.6319444444444444
Bremen,2017,5,324,253,8310.49793,25.6496849691358,32.84781790513833,0.7808641975308642
Bremen,2017,6,310,215,6918.703136,22.31839721290322,32.18001458604651,0.6935483870967742
Bremen,2017,7,334,253,6468.155514,19.36573507185629,25.56583207114625,0.7574850299401198
Bremen,2017,8,322,240,5832.936054,18.11470824223602,24.303900225,0.7453416149068323
Bremen,2017,9,325,207,4578.686599,14.08826645846154,22.11925893236715,0.6369230769230769
Bremen,2017,10,327,167,3983.038867,12.18054699388379,23.85053213772455,0.5107033639143731
Bremen,2017,11,315,102,2250.3983416,7.14412171936508,22.06272883921569,0.3238095238095238
Bremen,2017,12,293,102,2572.7413161,8.780687085665528,25.22295407941176,0.348122866894198
Bremen,2018,1,302,122,2902.5078226,9.610953054966888,23.79104772622951,0.4039735099337748
Bremen,2018,2,288,107,2637.8979479,9.159367874652778,24.65325184953271,0.3715277777777778
Bremen,2018,3,301,139,4321.103362,14.35582512292359,31.08707454676259,0.4617940199335548
Bremen,2018,4,294,126,3707.6783544,12.61115086530612,29.42601868571429,0.4285714285714285
Bremen,2018,5,293,155,4897.070396,16.71355083959044,31.59400255483871,0.5290102389078498
Bremen,2018,6,285,123,3909.139225,13.71627798245614,31.78161971544715,0.4315789473684211
Bremen,2018,7,301,145,5198.19173,17.26973996677741,35.84959813793104,0.4817275747508306
Bremen,2018,8,283,113,3128.6231273,11.05520539681979,27.68693033008849,0.3992932862190813
Bremen,2018,9,282,99,2783.537204,9.87069930496454,28.11653741414142,0.351063829787234
Bremen,2018,10,317,133,3692.190821,11.64728965615142,27.76083324060151,0.4195583596214511
Bremen,2018,11,277,98,2197.9886315,7.93497700902527,22.42845542346939,0.3537906137184115
Bremen,2018,12,255,91,2788.896408,10.93684865882353,30.64721327472527,0.3568627450980392
Bremen,2019,1,245,82,1993.1797146,8.135427406530612,24.3070696902439,0.3346938775510204
Bremen,2019,2,234,86,2119.1847234,9.056344971794871,24.64168283023256,0.3675213675213675
Bremen,2019,3,253,71,1619.5949985,6.40156125889328,22.81119716197183,0.2806324110671937
Bremen,2019,4,238,66,1977.9224893,8.310598694537815,29.96852256515152,0.2773109243697479
Bremen,2019,5,238,68,1630.2966603,6.849985967647059,23.97495088676471,0.2857142857142857
Bremen,2019,6,226,71,1960.5919484,8.675185612389381,27.61397110422535,0.3141592920353982
Bremen,2019,7,234,57,1569.6630361,6.707961692735043,27.53794800175439,0.2435897435897436
Bremen,2019,8,227,63,1462.97276,6.444813920704846,23.22178984126984,0.2775330396475771
Bremen,2019,9,218,57,1510.9347185,6.93089320412844,26.50762664035087,0.2614678899082569
Bremen,2019,10,237,60,1798.3728014,7.588070891983123,29.97288002333334,0.2531645569620253
Bremen,2019,11,219,53,1520.413908,6.942529260273973,28.68705486792453,0.2420091324200913
Bremen,2019,12,208,54,1729.7072083,8.315900039903847,32.03161496851852,0.2596153846153846
Bremen,2020,1,256,77,2677.7719424,10.46004665,34.77625899220779,0.30078125
Bremen,2020,2,224,59,1614.4130715,7.207201212053571,27.36293341525424,0.2633928571428572
Bremen,2020,3,257,84,2123.8913808,8.264168796887159,25.2844212,0.3268482490272374
Bremen,2020,4,238,67,2206.8183164,9.27234586722689,32.9375868119403,0.2815126050420168
Bremen,2020,5,234,58,1689.297779,7.219221277777778,29.12582377586207,0.2478632478632479
Bremen,2020,6,235,70,1851.421128,7.878387778723404,26.44887325714286,0.2978723404255319
Bremen,2020,7,225,61,1667.063047,7.409169097777777,27.32890240983606,0.2711111111111111
Bremen,2020,8,233,78,1916.7410893,8.226356606437768,24.57360370897436,0.3347639484978541
Bremen,2020,9,213,61,1338.6838755,6.284900823943662,21.94563730327869,0.2863849765258216
Bremen,2020,10,242,80,1830.4669572,7.563913046280992,22.880836965,0.3305785123966942
Bremen,2020,11,232,66,1952.51086,8.415995086206896,29.58349787878788,0.2844827586206897
Bremen,2020,12,214,67,2048.8258334,9.573952492523365,30.57949005074627,0.3130841121495327
Bremen,2021,1,237,84,2890.1202786,12.19460033164557,34.40619379285714,0.3544303797468354
Bremen,2021,2,212,79,2083.300563,9.826889448113208,26.37089320253165,0.3726415094339622
Bremen,2021,3,267,110,3237.3579931,12.12493630374532,29.43052721,0.4119850187265918
Bremen,2021,4,234,83,2430.4080724,10.38635928376068,29.2820249686747,0.3547008547008547
Bremen,2021,5,242,123,4683.6622,19.35397603305785,38.07855447154471,0.5082644628099173
Bremen,2021,6,225,111,3772.28946,16.76573093333333,33.98458972972973,0.4933333333333333
Bremen,2021,7,235,113,4309.323407,18.33754641276596,38.13560537168141,0.4808510638297872
Bremen,2021,8,211,107,4493.179418,21.29468918483412,41.99233100934579,0.5071090047393365
Bremen,2021,9,211,100,3866.063371,18.32257521800948,38.66063371,0.4739336492890995
Bremen,2021,10,238,103,3897.1947247,16.37476775084033,37.83684198737864,0.4327731092436975
Bremen,2021,11,225,109,2976.081643,13.22702952444445,27.30350131192661,0.4844444444444445
Bremen,2021,12,200,91,4155.029132,20.77514566,45.65966079120879,0.455
Bremen,2022,1,240,108,3240.4597484,13.50191561833333,30.00425692962963,0.45
Bremen,2022,2,196,83,2935.5719147,14.97740772806123,35.36833632168675,0.4234693877551021
Bremen,2022,3,247,115,5234.6075293,21.19274303360324,45.51832634173913,0.465587044534413
Bremen,2022,4,202,122,6515.120782,32.25307317821783,53.40262936065574,0.6039603960396039
Bremen,2022,5,218,124,6607.7183043,30.31063442339449,53.28805084112903,0.5688073394495413
Bremen,2022,6,203,124,8105.386454,39.92801208866995,65.36601979032258,0.6108374384236454
Bremen,2022,7,200,103,4862.7170047,24.3135850235,47.21084470582525,0.515
Bremen,2022,8,229,117,4785.868050399999,20.89898711965065,40.90485513162393,0.5109170305676856
Bremen,2022,9,188,78,2712.504964,14.42821789361702,34.77570466666666,0.4148936170212766
Bremen,2022,10,198,85,2675.566108,13.51296014141414,31.47724832941176,0.4292929292929293
Bremen,2022,11,187,57,1606.3211124,8.589952472727273,28.18107214736842,0.3048128342245989
Bremen,2022,12,165,59,2125.0155922,12.8788823769697,36.01721342711864,0.3575757575757576
Bremen,2023,1,178,50,1764.6788717,9.913926245505618,35.293577434,0.2808988764044944
Bremen,2023,2,159,41,1542.8944844,9.703738895597484,37.6315727902439,0.2578616352201258
Bremen,2023,3,173,40,792.1797205,4.579073528901734,19.8044930125,0.2312138728323699
Bremen,2023,4,165,49,2065.904992,12.52063631515152,42.16132636734694,0.296969696969697
Bremen,2023,5,170,66,1829.705044,10.76297084705882,27.7228036969697,0.3882352941176471
Bremen,2023,6,169,68,2113.696673,12.50708090532544,31.08377460294118,0.4023668639053254
Bremen,2023,7,163,57,1939.2149655,11.89702432822086,34.02131518421053,0.3496932515337423
Bremen,2023,8,163,59,1447.777216,8.882068809815951,24.53859688135593,0.3619631901840491
Bremen,2023,9,144,43,1155.0808368,8.0213947,26.86234504186046,0.2986111111111111
Bremen,2023,10,168,53,1546.216123,9.203667398809523,29.17388911320755,0.3154761904761905
Busan,2017,1,1038,87,1654.1783594,1.593620770134875,19.01354436091954,0.0838150289017341
Busan,2017,2,1027,90,1284.1236746,1.250363850632911,14.26804082888889,0.0876338851022395
Busan,2017,3,1211,93,1557.988361,1.286530438480595,16.75256302150538,0.0767960363336085
Busan,2017,4,1186,115,1597.4106881,1.346889281703204,13.8905277226087,0.096964586846543
Busan,2017,5,1212,104,1726.4732765,1.42448290140264,16.60070458173077,0.0858085808580858
Busan,2017,6,1174,127,1696.338012,1.444921645655877,13.35699222047244,0.1081771720613288
Busan,2017,7,1256,121,1937.4156155,1.542528356289809,16.01169930165289,0.0963375796178344
Busan,2017,8,1253,125,2279.30606,1.819079058260175,18.23444848,0.0997605746209098
Busan,2017,9,1220,127,1837.5141303,1.506159123196721,14.4686151992126,0.1040983606557377
Busan,2017,10,1148,115,2253.0229386,1.962563535365854,19.59150381391304,0.1001742160278746
Busan,2017,11,1185,93,1742.8288405,1.470741637552743,18.74009505913979,0.0784810126582278
Busan,2017,12,1245,99,1405.9065964,1.129242246104418,14.20107673131313,0.0795180722891566
Busan,2018,1,1220,115,3765.6550404,3.086602492131147,32.74482643826087,0.0942622950819672
Busan,2018,2,1082,111,2004.8503565,1.852911604898337,18.06171492342342,0.1025878003696858
Busan,2018,3,1190,105,2067.6552564,1.737525425546218,19.69195482285714,0.088235294117647
Busan,2018,4,1185,86,1455.004781,1.227852135864979,16.91866024418605,0.0725738396624472
Busan,2018,5,1262,104,1539.843544,1.220161286846276,14.80618792307692,0.0824088748019017
Busan,2018,6,1204,100,1463.3246838,1.21538595,14.633246838,0.0830564784053156
Busan,2018,7,1221,132,1890.9126791,1.548659032841933,14.32509605378788,0.1081081081081081
Busan,2018,8,1166,117,2148.5989815,1.842709246569468,18.36409385897436,0.1003430531732419
Busan,2018,9,1166,129,2284.0708288,1.95889436432247,17.70597541705427,0.1106346483704974
Busan,2018,10,1152,90,2349.487221,2.039485434895834,26.10541356666667,0.078125
Busan,2018,11,1207,128,2193.6802636,1.817465007125103,17.138127059375,0.1060480530240265
Busan,2018,12,1145,75,1034.9008327,0.9038435220087336,13.79867776933333,0.0655021834061135
Busan,2019,1,1215,88,3242.9529907,2.669097111687243,36.85173853068182,0.0724279835390946
Busan,2019,2,1033,105,2944.7038654,2.85063297715392,28.04479871809524,0.1016456921587609
Busan,2019,3,1199,88,1899.9974765,1.584651773561301,21.59088041477273,0.073394495412844
Busan,2019,4,1151,77,1350.4477741,1.173282166898349,17.53828278051948,0.0668983492615117
Busan,2019,5,1197,88,1520.5824928,1.270327897076023,17.27934650909091,0.073517126148705
Busan,2019,6,1165,69,1137.289453,0.9762141227467812,16.48245584057971,0.0592274678111588
Busan,2019,7,1199,96,2152.7244325,1.795433221434529,22.42421283854167,0.0800667222685571
Busan,2019,8,1157,86,1582.6753174,1.36791297960242,18.40320136511628,0.0743301642178046
Busan,2019,9,1108,139,3008.226385,2.715005762635379,21.64191643884892,0.1254512635379061
Busan,2019,10,1125,88,1445.887762,1.285233566222222,16.43054275,0.0782222222222222
Busan,2019,11,1123,97,1309.6655733,1.166220457079252,13.50170694123711,0.0863757791629563
Busan,2019,12,1144,67,925.348886,0.8088714038461539,13.81117740298508,0.0585664335664335
Busan,2020,1,1267,131,3896.8380537,3.075641715627466,29.74685537175572,0.1033938437253354
Busan,2020,2,1034,91,1924.3814082,1.861103876402321,21.14704844175824,0.0880077369439071
Busan,2020,3,1156,130,2319.1966719,2.006225494723183,17.83997439923077,0.1124567474048443
